file_name,well_code,well_name,profile_file_name,log_date,sample_count,min_depth_m,max_depth_m,min_temperature_c,max_temperature_c,deepest_temperature_c,deepest_window_gradient_c_per_100m
ATI_84AUG08a.txt,ATI,Atigaru Test Well #1,ATI_84AUG08a_c_d,08-AUG-1984,1258,14.94,400.2,-10.028,0.096,0.096,3.8045415747482783
ATI_84AUG08b.txt,ATI,Atigaru Test Well #1,ATI_84AUG08b_c_d,08-AUG-1984,651,400.81,609.6,0.105,10.754,10.754,5.016372143196604
ATI_89JUL09a.txt,ATI,Atigaru Test Well #1,ATI_89JUL09a_c_d,09-JUL-1989,1381,14.63,301.35,-9.928,-3.768,-3.768,2.7409366657156835
ATI_89JUL09b.txt,ATI,Atigaru Test Well #1,ATI_89JUL09b_c_d,09-JUL-1989,1562,289.87,608.28,-4.089,10.592,10.592,5.056245393453681
ATI_80SEP11.txt,ATI,Atigaru Test Well #1,ATI_80SEP11,11-SEP-1980,194,12.3,605.62,-9.466,10.764,10.764,4.981006273705066
ATI_79SEP12.txt,ATI,Atigaru Test Well #1,ATI_79SEP12,12-SEP-1979,193,12.19,609.6,-9.397,11.083,11.083,4.929165631848398
ATI_07AUG13.txt,ATI,Atigaru Test Well #1,ATI_07AUG13_c_d,13-AUG-2007,2038,14.59,200.46,-9.485,-6.465,-6.465,1.9740005856530087
ATI_77DEC14.txt,ATI,Atigaru Test Well #1,ATI_77DEC14,14-DEC-1977,161,11.58,605.94,-8.527,11.434,11.434,4.75311539627857
ATI_02AUG16a.txt,ATI,Atigaru Test Well #1,ATI_02AUG16a_c_d,16-AUG-2002,4858,9.11,501.63,-9.561,5.191,5.191,5.179809615108369
ATI_78SEP16.txt,ATI,Atigaru Test Well #1,ATI_78SEP16,16-SEP-1978,195,9.14,609.6,-9.08,11.292,11.292,4.8118083628759
ATI_81AUG26.txt,ATI,Atigaru Test Well #1,ATI_81AUG26,26-AUG-1981,197,12.19,609.6,-9.62,10.9,10.9,4.955514873224407
AWU_82SEP06.txt,AWU,Awuna Test Well #1,AWU_82SEP06,06-SEP-1982,134,15.24,423.67,-4.46,6.196,6.196,2.8572811261531554
AWU_12AUG07.txt,AWU,Awuna,AWU_12AUG07_c_d,07-AUG-2012,1858,5.35,199.42,-5.986,-1.249,-2.813,2.9082816814466366
AWU_02AUG14b.txt,AWU,Awuna,AWU_02AUG14b_c_d,14-AUG-2002,3630,4.12,398.63,-6.229,3.326,3.326,2.952071937748139
AWU_81AUG22.txt,AWU,Awuna Test Well #1,AWU_81AUG22,22-AUG-1981,227,30.48,719.33,-2.112,14.881,14.881,2.157615608610605
AWU_08JUL24.txt,AWU,Awuna,AWU_08JUL24_c_d,24-JUL-2008,2303,3.29,201.91,-6.158,-1.68,-2.805,2.9575088752057384
AWU_84JUL29.txt,AWU,Awuna Test Well #1,AWU_84JUL29_c_d,29-JUL-1984,2800,14.02,879.96,-6.085,17.005,17.005,2.738392926148813
AWU_83AUG30.txt,AWU,Awuna Test Well #1,AWU_83AUG30,30-AUG-1983,282,21.34,877.83,-5.865,17.106,17.106,2.7402368117179488
AWU_89JUL31.txt,AWU,Awuna Test Well #1,AWU_89JUL31_c_d,31-JUL-1989,4268,13.11,882.6,-6.446,16.765,16.765,2.755165499274359
CNR_79SEP17.txt,CNR,Canning River Unit A1,CNR_79SEP17,17-SEP-1979,186,9.14,571.81,-7.136,8.732,8.732,2.600316902300791
CNR_14JUN27.txt,CNR,Canning River Unit A1,CNR_14JUN27_c_d,27-JUN-2014,2378,5.89,264.78,-5.436,-0.53,-0.53,2.9281402482925
CNR_81AUG28.txt,CNR,Canning River Unit A1,CNR_81AUG28,28-AUG-1981,86,9.14,268.22,-6.943,-0.301,-0.301,2.96618972084089
CNR_74AUG29.txt,CNR,Canning River Unit A1,CNR_74AUG29,29-AUG-1974,113,9.14,350.52,-4.107,6.742,6.742,2.371577287151669
DRP_83SEP05.txt,DRP,Drew Point Test Well #1,DRP_83SEP05,05-SEP-1983,96,36.58,615.7,-9.108,11.533,11.533,3.751704621449279
DRP_80SEP08.txt,DRP,Drew Point Test Well #1,DRP_80SEP08,08-SEP-1980,66,36.58,234.7,-8.795,-3.31,-3.31,3.0507195812697416
DRP_07AUG09.txt,DRP,Drew Point,DRP_07AUG09_c_d,09-AUG-2007,2293,3.27,210.21,-9.404,-4.355,-4.355,3.1685501293442773
DRP_84AUG10a.txt,DRP,Drew Point Test Well #1,DRP_84AUG10a_c_d,10-AUG-1984,1927,40.54,631.85,-9.101,11.946,11.946,3.754912354510372
DRP_89JUL13.txt,DRP,Drew Point Test Well #1,DRP_89JUL13_c_d,13-JUL-1989,2879,39.32,631.24,-9.225,11.876,11.876,3.7572259802203947
DRP_79SEP13.txt,DRP,Drew Point Test Well #1,DRP_79SEP13,13-SEP-1979,189,42.67,615.7,-8.622,11.723,11.723,3.7151659643497177
DRP_78SEP17.txt,DRP,Drew Point Test Well #1,DRP_78SEP17,17-SEP-1978,191,36.58,615.7,-7.454,12.293,12.293,3.667335390797345
DRP_03AUG25.txt,DRP,Drew Point,DRP_03AUG25_c_d,25-AUG-2003,3623,34.5,373.84,-9.36,2.573,2.573,4.825691749676723
DRP_81AUG26.txt,DRP,Drew Point Test Well #1,DRP_81AUG26,26-AUG-1981,193,36.58,621.79,-8.939,11.878,11.878,3.7741224534771467
EB1_75AUG15.txt,EB1,Echooka Unit No. 1,EB1_75AUG15,15-AUG-1975,96,15.24,304.8,-5.83,1.154,1.154,1.663528327109289
EB1_73SEP26.txt,EB1,Echooka Unit No. 1,EB1_73SEP26,26-SEP-1973,167,12.19,588.27,-4.429,7.873,7.873,1.9054052588832027
EB1_81AUG28.txt,EB1,Echooka Unit No. 1,EB1_81AUG28,28-AUG-1981,190,12.19,588.27,-5.145,6.922,6.922,2.056759121688328
EB1_13JUL28.txt,EB1,Echooka #1,EB1_13JUL28_c_d,28-JUL-2013,3216,8.57,559.82,-3.617,6.257,6.257,2.0665791139613074
ESN_83SEP05.txt,ESN,East Simpson Test Well #1,ESN_83SEP05,05-SEP-1983,89,24.38,560.83,-9.468,7.981,7.981,4.246060232028959
ESN_12AUG09.txt,ESN,East Simpson,ESN_12AUG09_c_d,09-AUG-2012,1880,10.65,199.4,-8.997,-5.129,-5.129,2.660687346233029
ESN_84AUG10.txt,ESN,East Simpson Test Well #1,ESN_84AUG10_c_d,10-AUG-1984,1852,12.8,579.73,-9.772,8.57,8.57,4.255330069338082
ESN_07AUG10b.txt,ESN,East Simpson,ESN_07AUG10b_c_d,10-AUG-2007,2149,9.14,206.49,-9.129,-4.875,-4.875,2.723826347827904
ESN_79SEP13.txt,ESN,East Simpson Test Well #1,ESN_79SEP13,13-SEP-1979,183,9.14,563.88,-8.08,8.976,8.976,4.120707384852671
ESN_80SEP13.txt,ESN,East Simpson Test Well #1,ESN_80SEP13,13-SEP-1980,183,9.14,563.88,-9.203,8.566,8.566,4.268671942238861
ESN_02AUG23.txt,ESN,East Simpson,ESN_02AUG23_c_d,23-AUG-2002,3991,11.2,448.85,-9.266,3.247,3.247,3.941692442369348
ESN_89JUL23.txt,ESN,East Simpson Test Well #1,ESN_89JUL23_c_d,23-JUL-1989,2719,17.07,580.95,-9.86,8.509,8.509,4.255434391578859
ESN_81AUG24.txt,ESN,East Simpson Test Well #1,ESN_81AUG24,24-AUG-1981,178,9.14,566.93,-9.344,8.309,8.309,4.242530705222681
ETK_84AUG01.txt,ETK,East Teshekpuk Test Well #1,ETK_84AUG01_c_d,01-AUG-1984,2251,31.39,719.94,-9.221,19.656,19.656,4.20434890136119
ETK_07AUG04.txt,ETK,East Teshekpuk Test Well #1,ETK_07AUG04_c_d,04-AUG-2007,2221,2.94,201.57,-8.865,-2.392,-2.392,4.815373506328284
ETK_80SEP10.txt,ETK,East Teshekpuk Test Well #1,ETK_80SEP10,10-SEP-1980,183,12.19,707.14,-9.421,19.439,19.439,4.370051299269387
ETK_79SEP12.txt,ETK,East Teshekpuk Test Well #1,ETK_79SEP12,12-SEP-1979,224,12.19,710.19,-9.564,19.527,19.527,4.201784134266243
ETK_89JUL15.txt,ETK,East Teshekpuk Test Well #1,ETK_89JUL15_c_d,15-JUL-1989,863,10.67,213.26,-9.692,-1.638,-1.638,4.879685617457409
ETK_77DEC17.txt,ETK,East Teshekpuk Test Well #1,ETK_77DEC17,17-DEC-1977,156,10.97,712.01,-9.529,19.533,19.533,4.154556023402123
ETK_78SEP17.txt,ETK,East Teshekpuk Test Well #1,ETK_78SEP17,17-SEP-1978,220,12.64,701.49,-9.085,19.103,19.103,4.161935503576623
ETK_03AUG18b.txt,ETK,East Teshepuk,ETK_03AUG18b_c_d,18-AUG-2003,3007,8.04,303.72,-8.996,2.014,2.014,4.36275139611154
FCK_12AUG04.txt,FCK,West Fish Creek,FCK_12AUG04_c_d,04-AUG-2012,1948,7.9,199.43,-7.905,-2.517,-2.517,4.727970288740024
FCK_84AUG07.txt,FCK,West Fish Creek Test Well #1,FCK_84AUG07_c_d,07-AUG-1984,1605,14.02,508.71,-9.945,9.246,9.246,3.519134838117137
FCK_89JUL09.txt,FCK,West Fish Creek Test Well #1,FCK_89JUL09_c_d,09-JUL-1989,2429,13.11,511.15,-9.553,9.049,9.049,3.50491317771957
FCK_77DEC11.txt,FCK,West Fish Creek Test Well #1,FCK_77DEC11,11-DEC-1977,128,23.16,620.57,-7.292,14.683,14.683,3.4338784575004953
FCK_79SEP12.txt,FCK,West Fish Creek Test Well #1,FCK_79SEP12,12-SEP-1979,205,15.24,664.47,-8.808,15.409,15.409,3.6425955197035647
FCK_80SEP12.txt,FCK,West Fish Creek Test Well #1,FCK_80SEP12,12-SEP-1980,208,12.19,664.47,-9.082,15.437,15.437,3.648033553035123
FCK_78SEP16.txt,FCK,West Fish Creek Test Well #1,FCK_78SEP16,16-SEP-1978,206,12.19,661.42,-8.079,15.587,15.587,3.5870241347595493
FCK_08JUL19.txt,FCK,West Fish Creek,FCK_08JUL19_c_d,19-JUL-2008,2545,13.43,249.17,-8.052,-0.444,-0.444,4.672893565851799
FCK_81AUG21.txt,FCK,West Fish Creek Test Well #1,FCK_81AUG21,21-AUG-1981,191,12.19,667.51,-9.181,15.324,15.324,3.6559697120289827
IKP_07AUG03a.txt,IKP,Ikpikpuk,IKP_07AUG03a_c_d,03-AUG-2007,1970,16.68,200.07,-8.118,-3.793,-3.793,3.122619467495284
IKP_84AUG05a.txt,IKP,Ikpikpuk Test Well #1,IKP_84AUG05a_c_d,05-AUG-1984,709,12.8,231.65,-9.969,-2.724,-2.724,2.5176521366992097
IKP_84AUG05b.txt,IKP,Ikpikpuk Test Well #1,IKP_84AUG05b_c_d,05-AUG-1984,1206,233.17,606.55,-2.658,7.972,7.972,2.954998133065429
IKP_12AUG05.txt,IKP,Ikpikpuk,IKP_12AUG05_c_d,05-AUG-2012,1927,6.25,199.4,-8.01,-3.814,-3.814,3.1051237638145635
IKP_89JUL06.txt,IKP,Ikpikpuk Test Well #1,IKP_89JUL06_c_d,06-JUL-1989,2810,12.8,613.46,-9.84,7.715,7.715,2.921314584237471
IKP_80SEP10.txt,IKP,Ikpikpuk Test Well #1,IKP_80SEP10,10-SEP-1980,195,15.24,609.6,-6.433,9.326,9.326,2.7876929649638136
IKP_83AUG20.txt,IKP,Ikpikpuk Test Well #1,IKP_83AUG20,20-AUG-1983,150,18.29,609.6,-8.686,7.957,7.957,2.9106843859935756
