well_code,well_name,file_name,profile_file_name,log_date,depth_m,temperature_c,point_index,source_sample_count,sampled_point_count,sample_method,profile_point_role,public_product_role
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,14.94,-10.028,1,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,17.37,-9.925,2,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,19.81,-9.835,3,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,22.25,-9.753,4,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,24.69,-9.685,5,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,27.13,-9.64,6,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,29.26,-9.61,7,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,31.7,-9.577,8,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,34.14,-9.549,9,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,36.58,-9.527,10,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,39.01,-9.508,11,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,41.45,-9.487,12,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,43.89,-9.466,13,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,46.33,-9.444,14,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,48.77,-9.418,15,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,51.21,-9.389,16,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,53.34,-9.361,17,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,55.78,-9.326,18,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,58.22,-9.29,19,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
