object_id,permit_number,api_number,well_name,field,pool,current_status,driller_total_depth_ft,true_vertical_depth_ft,wellhead_latitude,wellhead_longitude,bottomhole_latitude,bottomhole_longitude,depth_basis,depth_basis_ft,depth_basis_m,hydrate_assessment_unit_count,hydrate_assessment_codes,within_hydrate_assessment_unit,nearest_ggd223_code,nearest_ggd223_well,nearest_permafrost_depth_m,nearest_ggd223_distance_km,well_depth_exceeds_nearest_permafrost_control,stability_context_flag
8946,1002020,50279200060000,J W DALTON TEST WELL 1,*EXPLORATORY,Unknown,Plugged & Abandoned,9367.0,9367.0,70.92049634,-153.1375265,70.92049634,-153.1375265,TrueVertic,9367.0,2855.0616,1,50010202,True,JWD,J.W. Dalton,411,0.00010742627558761922,True,public_context_candidate
6894,1001080,50103200170000,N INIGOK TEST WELL 1,*EXPLORATORY,Unknown,Observation well,10170.0,10170.0,70.25758865,-152.76598394,70.25758865,-152.76598394,TrueVertic,10170.0,3099.8160000000003,1,50010202,True,NING,North Inigok,294,0.00013260994522104348,True,public_context_candidate
6886,1001040,50103200080000,ATIGARU PT 1,*EXPLORATORY,Unknown,Plugged & Abandoned,11535.0,11535.0,70.55612048,-151.71718317,70.55612049,-151.71718312,TrueVertic,11535.0,3515.8680000000004,2,50010201; 50010202,True,ATI,Atigaru,405,0.00015050754918363,True,public_context_candidate
8944,1002000,50279200040000,IKPIKPUK TEST WELL 1,*EXPLORATORY,Unknown,Observation well,15481.0,15475.0,70.45546881,-154.33132708,70.45546881,-154.33132708,TrueVertic,15475.0,4716.780000000001,1,50010203,True,IKP,Ikpikpuk,347,0.0002360218485128759,True,public_context_candidate
9225,1002250,50301200010000,TUNALIK TEST WELL 1,*EXPLORATORY,Unknown,Observation well,20335.0,20211.0,70.20595569,-161.06920909,70.20662195,-161.07452068,TrueVertic,20211.0,6160.312800000001,1,50010203,True,TLK,Tunalik,296,0.00029990497739286383,True,public_context_candidate
8693,1001550,50163200020000,KUGRUA TEST WELL 1,*EXPLORATORY,Unknown,Observation well,12588.0,12588.0,70.58702479,-158.66201236,70.58702479,-158.66201236,TrueVertic,12588.0,3836.8224,1,50010203,True,KAG,Kugrua,287,0.0003246801067318002,True,public_context_candidate
9226,1002260,50301200020000,PEARD TEST WELL 1,*EXPLORATORY,Unknown,Observation well,10225.0,10225.0,70.71564754,-159.00070176,70.71564754,-159.00070176,TrueVertic,10225.0,3116.5800000000004,1,50010203,True,PEA,Peard Bay,310,0.00034462523361990824,True,public_context_candidate
8942,1001980,50279200020000,DREW PT 1,*EXPLORATORY,Unknown,Plugged & Abandoned,7946.0,7946.0,70.87975918,-153.89998832,70.87975918,-153.89998826,TrueVertic,7946.0,2421.9408000000003,2,50010202; 50010203,True,DRP,Drew Point,324,0.00035873447216570637,True,public_context_candidate
8945,1002010,50279200050000,E SIMPSON TEST WELL 1,*EXPLORATORY,Unknown,Observation well,7739.0,7739.0,70.91778519,-154.61799106,70.91778519,-154.61799106,TrueVertic,7739.0,2358.8472,1,50010203,True,ESN,East Simpson #1,370,0.0005383667741652383,True,public_context_candidate
233,1700460,50029200800000,PRUDHOE BAY UNIT F-01,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,9236.0,9236.0,70.33470459,-148.7671433,70.334523,-148.76696,TrueVertic,9236.0,2815.1328000000003,1,50010201,True,PBH,BP 11-11-13,637,0.00785407799252234,True,public_context_candidate
234,2061010,50029200800100,PRUDHOE BAY UNIT F-01A,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,10375.0,9046.0,70.33470459,-148.7671433,70.33757439,-148.76873165,TrueVertic,9046.0,2757.2208,1,50010201,True,PBH,BP 11-11-13,637,0.00785407799252234,True,public_context_candidate
235,2130640,50029200800200,PRUDHOE BAY UNIT F-01B,PRUDHOE BAY,PRUDHOE OIL,"Oil well, single completion",11925.0,9050.0,70.33469757,-148.7671514,70.33945143,-148.76949835,TrueVertic,9050.0,2758.44,1,50010201,True,PBH,BP 11-11-13,637,0.008370376305919152,True,public_context_candidate
337,1740060,50029201330000,E BAY ST 1,PRUDHOE BAY,"PRUDHOE OIL, LISBURNE OIL",Suspended well,12230.0,10586.0,70.31059598,-148.31630151,70.321025,-148.341976,TrueVertic,10586.0,3226.6128000000003,1,50010201,True,EBS,East Bay State #1,627,0.0085347416697247,True,public_context_candidate
165,1690640,50029200350000,PRUDHOE BAY UNIT TR PR 19-10-15,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,9870.0,9870.0,70.21175713,-148.41259425,70.211757,-148.412482,TrueVertic,9870.0,3008.376,1,50010201,True,PBC,BP 19-10-15,584,0.010554874739139521,True,public_context_candidate
2646,1850880,50029213440000,MILNE PT UNIT C-14,MILNE POINT,KUPARUK RIVER OIL,Plugged & Abandoned,8833.0,7306.0,70.49017428,-149.52318948,70.486544,-149.489274,TrueVertic,7306.0,2226.8688,2,50010201; 50010202,True,CN19,Prudhoe Bay C-19,530,0.01983500282688272,True,public_context_candidate
2647,2240150,50029213440100,MILNE PT UNIT C-14A,MILNE POINT,KUPARUK RIVER OIL,"Oil well, single completion",11021.0,7061.0,70.49017428,-149.52318948,70.48774964,-149.4717032,TrueVertic,7061.0,2152.1928000000003,2,50010201; 50010202,True,CN19,Prudhoe Bay C-19,530,0.01983500282688272,True,public_context_candidate
160,1690530,50029200300000,SAG DELTA 31-10-16,PRUDHOE BAY,Unknown,Plugged & Abandoned,13877.0,13877.0,70.18208844,-148.15848297,70.18208844,-148.15848297,TrueVertic,13877.0,4229.7096,1,50010201,True,PBL,BP 31-10-16,605,0.022050592949558953,True,public_context_candidate
2671,1851030,50029213580000,MILNE PT UNIT C-15,MILNE POINT,KUPARUK RIVER OIL,Plugged & Abandoned,7665.0,7319.0,70.48986302,-149.52289381,70.48896395,-149.50960093,TrueVertic,7319.0,2230.8312,2,50010201; 50010202,True,CN19,Prudhoe Bay C-19,530,0.022448421871085106,True,public_context_candidate
2672,2160700,50029213580100,MILNE PT UNIT C-15A,MILNE POINT,SAG RIVER OIL,"Oil well, single completion",9928.0,9250.0,70.48986028,-149.52289375,70.48593115,-149.50861283,TrueVertic,9250.0,2819.4,2,50010201; 50010202,True,CN19,Prudhoe Bay C-19,530,0.022651299625189397,True,public_context_candidate
5767,2021450,50029231040000,PRUDHOE BAY UNIT PSI-01,PRUDHOE BAY,PRUDHOE OIL,"Water injection, single completion",9735.0,8663.0,70.31074165,-148.31577307,70.31787836,-148.33963277,TrueVertic,8663.0,2640.4824000000003,1,50010201,True,EBS,East Bay State #1,627,0.02414827114634112,True,public_context_candidate
178,1691040,50029200470000,PRUDHOE BAY UNIT TR PR 33-12-13,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,9300.0,9300.0,70.35619845,-148.8356182,70.35617,-148.835473,TrueVertic,9300.0,2834.6400000000003,1,50010201,True,PBA,BP 33-12-13,662,0.02550583613281275,True,public_context_candidate
461,1760170,50029201990000,HIGHLAND ST 1,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,9450.0,9450.0,70.29189084,-149.21833319,70.291828,-149.218197,TrueVertic,9450.0,2880.36,1,50010201,True,NHST,N. Highland State,577,0.026765808448823248,True,public_context_candidate
1264,1810640,50029205940000,PRUDHOE BAY UNIT N-14,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,10205.0,9433.0,70.31851909,-148.91039152,70.32499,-148.893851,TrueVertic,9433.0,2875.1784000000002,1,50010201,True,PBF,BP 08-11-13,619,0.027550505825451047,True,public_context_candidate
241,1700560,50029200840000,PRUDHOE BAY UNIT F-02,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,10940.0,9370.0,70.33497064,-148.76711296,70.323925,-148.766766,TrueVertic,9370.0,2855.976,1,50010201,True,PBH,BP 11-11-13,637,0.027954868856412792,True,public_context_candidate
1266,2080800,50029205940200,PRUDHOE BAY UNIT N-14B,PRUDHOE BAY,PRUDHOE OIL,"Oil well, single completion",10123.0,8770.0,70.31851913,-148.9104118,70.32431061,-148.89720164,TrueVertic,8770.0,2673.096,1,50010201,True,PBF,BP 08-11-13,619,0.02827349056161531,True,public_context_candidate
1265,1972110,50029205940100,PRUDHOE BAY UNIT N-14A,PRUDHOE BAY,PRUDHOE OIL,Plugged & Abandoned,9960.0,9151.0,70.31851909,-148.91041193,70.325436,-148.899548,TrueVertic,9151.0,2789.2248,1,50010201,True,PBF,BP 08-11-13,619,0.028279704787409973,True,public_context_candidate
