api_number,measured_depth_ft,inclination_deg,azimuth_deg,tvd_ft,latitude,longitude,survey_update_date,path_label,data_boundary
500292107400,0.0,0.0,0.0,0.0,70.4918022,-148.6963651,02/17/2022,public directional survey API 500292107400,public_source_simplified_path_from_unclassified_source_bundle
500292107400,3000.0,10.77,85.37,2997.91,70.4918515,-148.6961225,02/17/2022,public directional survey API 500292107400,public_source_simplified_path_from_unclassified_source_bundle
500292107400,6500.0,43.53,111.73,5961.71,70.4915576,-148.6819259,02/17/2022,public directional survey API 500292107400,public_source_simplified_path_from_unclassified_source_bundle
500292107400,9500.0,28.68,106.2,8379.37,70.4903443,-148.6681085,02/17/2022,public directional survey API 500292107400,public_source_simplified_path_from_unclassified_source_bundle
500292107400,13078.0,30.0,136.25,11419.83,70.4876969,-148.655195,02/17/2022,public directional survey API 500292107400,public_source_simplified_path_from_unclassified_source_bundle
500292123600,0.0,0.0,0.0,0.0,70.4918958,-148.696053,02/15/2022,public directional survey API 500292123600,public_source_simplified_path_from_unclassified_source_bundle
500292123600,4000.0,43.65,2.89,3715.01,70.4945274,-148.6958377,02/15/2022,public directional survey API 500292123600,public_source_simplified_path_from_unclassified_source_bundle
500292123600,8500.0,51.1,16.89,6646.83,70.5037248,-148.692095,02/15/2022,public directional survey API 500292123600,public_source_simplified_path_from_unclassified_source_bundle
500292123600,12500.0,45.7,25.69,9211.25,70.5118046,-148.6856617,02/15/2022,public directional survey API 500292123600,public_source_simplified_path_from_unclassified_source_bundle
500292123600,16090.0,15.52,52.89,12121.17,70.5163848,-148.6768445,02/15/2022,public directional survey API 500292123600,public_source_simplified_path_from_unclassified_source_bundle
500292123670,0.0,0.0,0.0,0.0,70.4918958,-148.696053,02/16/2022,public directional survey API 500292123670,public_source_simplified_path_from_unclassified_source_bundle
500292123670,2000.0,5.85,357.81,1999.29,70.4919926,-148.6960395,02/16/2022,public directional survey API 500292123670,public_source_simplified_path_from_unclassified_source_bundle
500292123670,4500.0,45.92,2.5,4069.41,70.4954905,-148.6957585,02/16/2022,public directional survey API 500292123670,public_source_simplified_path_from_unclassified_source_bundle
500292123670,6500.0,50.35,10.69,5412.43,70.4995076,-148.6945512,02/16/2022,public directional survey API 500292123670,public_source_simplified_path_from_unclassified_source_bundle
500292123670,12548.0,50.05,12.19,9248.68,70.512061,-148.6875528,02/16/2022,public directional survey API 500292123670,public_source_simplified_path_from_unclassified_source_bundle
500292123671,0.0,0.0,0.0,0.0,70.4918958,-148.696053,02/15/2022,public directional survey API 500292123671,public_source_simplified_path_from_unclassified_source_bundle
500292123671,3000.0,29.27,4.3,2948.31,70.4927851,-148.6959476,02/15/2022,public directional survey API 500292123671,public_source_simplified_path_from_unclassified_source_bundle
500292123671,6500.0,50.35,10.69,5412.43,70.4995076,-148.6945512,02/15/2022,public directional survey API 500292123671,public_source_simplified_path_from_unclassified_source_bundle
500292123671,9500.0,54.08,12.39,7257.82,70.5058392,-148.6907489,02/15/2022,public directional survey API 500292123671,public_source_simplified_path_from_unclassified_source_bundle
500292123671,14360.0,47.6,20.0,10474.2,70.5154065,-148.6828152,02/15/2022,public directional survey API 500292123671,public_source_simplified_path_from_unclassified_source_bundle
500292305200,0.0,0.0,0.0,0.0,70.4907056,-148.696368,02/17/2022,public directional survey API 500292305200,public_source_simplified_path_from_unclassified_source_bundle
500292305200,2554.0,23.12,103.85,2533.39,70.4905794,-148.6947572,02/17/2022,public directional survey API 500292305200,public_source_simplified_path_from_unclassified_source_bundle
500292305200,6456.0,45.42,104.96,5393.04,70.4888004,-148.6739003,02/17/2022,public directional survey API 500292305200,public_source_simplified_path_from_unclassified_source_bundle
500292305200,10254.0,30.42,103.9,8323.8,70.4872198,-148.6548918,02/17/2022,public directional survey API 500292305200,public_source_simplified_path_from_unclassified_source_bundle
500292305200,13429.0,5.89,89.51,11228.32,70.4864831,-148.6452856,02/17/2022,public directional survey API 500292305200,public_source_simplified_path_from_unclassified_source_bundle
500292309100,0.0,0.0,0.0,0.0,70.4907872,-148.696376,02/16/2022,public directional survey API 500292309100,public_source_simplified_path_from_unclassified_source_bundle
500292309100,3021.0,36.32,73.57,2718.49,70.4915692,-148.6879657,02/16/2022,public directional survey API 500292309100,public_source_simplified_path_from_unclassified_source_bundle
500292309100,6837.0,35.67,72.24,5796.85,70.4932357,-148.670257,02/16/2022,public directional survey API 500292309100,public_source_simplified_path_from_unclassified_source_bundle
500292309100,10668.0,36.01,91.51,8875.53,70.494747,-148.652242,02/16/2022,public directional survey API 500292309100,public_source_simplified_path_from_unclassified_source_bundle
500292309100,13584.0,62.52,126.49,11149.75,70.4924494,-148.6396394,02/16/2022,public directional survey API 500292309100,public_source_simplified_path_from_unclassified_source_bundle
