public_ml_feature_scaffold_version,public_product_role,ml_row_grain,object_id,permit_number,api_number,well_name,field,pool,lat,lon,current_status,hydrate_assessment_codes,hydrate_assessment_unit_count,within_hydrate_assessment_unit,tvd_m,depth_source,depth_basis_ft,depth_available,permafrost_base_m,permafrost_control_code,permafrost_control_distance_km,permafrost_confidence,well_depth_exceeds_nearest_permafrost_control,well_depth_minus_permafrost_control_m,temperature_profile_matched,temperature_profile_code,temperature_profile_file,temperature_profile_count_for_code,temperature_profile_max_depth_m,temperature_gradient_c_per_100m,temperature_gradient_source,temperature_profile_link_method,temperature_at_permafrost_control_c,temperature_at_permafrost_control_method,temperature_at_permafrost_control_status,temperature_at_permafrost_control_extrapolated,temperature_at_permafrost_control_extrapolation_m,temperature_at_depth_basis_c,temperature_at_depth_basis_method,temperature_at_depth_basis_status,temperature_at_depth_basis_extrapolated,temperature_at_depth_basis_extrapolation_m,pressure_model_id,pressure_at_tvd_mpa_absolute,pressure_at_permafrost_control_mpa_absolute,phase_curve_id,phase_curve_role,phase_curve_allowed_use,gas_composition_assumption,gas_methane_mol_pct,salinity_ppt_assumption,stability_input_readiness,stability_result_status,stability_confidence,stability_interval_calculated,no_stable_interval_under_baseline,stability_top_m,stability_base_m,stability_thickness_m,well_penetrated_stability_thickness_m,reaches_stability_zone,caveat_codes,blank_or_block_reason,public_ml_feature_readiness,ml_training_readiness,hydrate_occurrence_label_status,hydrate_saturation_label_status,allowed_ml_use,prohibited_ml_use,label_guardrail
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,8946,1002020,50279200060000,J W DALTON TEST WELL 1,*EXPLORATORY,Unknown,70.92049634,-153.1375265,Plugged & Abandoned,50010202,1,True,2855.0616,TrueVertic,9367.0,True,411,JWD,0.000107426275173,permafrost_point_control_only,True,2444.0616,True,JWD,JWD_89JUL11.txt,7.0,463.8,4.475036865211142,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.1883499999999988,measured_profile_interpolated,calculated,False,0.0,109.3228381436378,measured_profile_plus_gradient_extrapolation,calculated,True,2391.2616,hydrostatic_freshwater_surface_absolute_v1,28.09991483964,4.13185815,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,6894,1001080,50103200170000,N INIGOK TEST WELL 1,*EXPLORATORY,Unknown,70.25758865,-152.76598394,Observation well,50010202,1,True,3099.8160000000003,TrueVertic,10170.0,True,294,NING,0.000132609945142,permafrost_point_control_only,True,2805.8160000000003,False,,,,,,deepest_window_g10015_inventory,no_matching_g10015_profile_for_nearest_ggd223_code,,blocked_no_temperature_profile,blocked_no_temperature_profile,False,0.0,,blocked_no_temperature_profile,blocked_no_temperature_profile,False,0.0,hydrostatic_freshwater_surface_absolute_v1,30.5001355764,2.9844801000000003,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,needs_temperature_profile_match,blocked_missing_temperature_profile,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,blocked_missing_temperature_profile,blocked_missing_temperature_profile,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,6886,1001040,50103200080000,ATIGARU PT 1,*EXPLORATORY,Unknown,70.55612048,-151.71718317,Plugged & Abandoned,50010201; 50010202,2,True,3515.8680000000004,TrueVertic,11535.0,True,405,ATI,0.0001505075491935,permafrost_point_control_only,True,3110.8680000000004,True,ATI,ATI_84AUG08b.txt,11.0,609.6,5.016372143196604,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.3035333333333341,measured_profile_interpolated,calculated,False,0.0,156.54321835863712,measured_profile_plus_gradient_extrapolation,calculated,True,2906.2680000000005,hydrostatic_freshwater_surface_absolute_v1,34.58021192220001,4.07301825,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,8944,1002000,50279200040000,IKPIKPUK TEST WELL 1,*EXPLORATORY,Unknown,70.45546881,-154.33132708,Observation well,50010203,1,True,4716.780000000001,TrueVertic,15475.0,True,347,IKP,0.0002360218461992,permafrost_point_control_only,True,4369.780000000001,True,IKP,IKP_89JUL06.txt,9.0,613.46,2.921314584237471,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.275,measured_profile_interpolated,calculated,False,0.0,127.585885597933,measured_profile_plus_gradient_extrapolation,calculated,True,4103.320000000001,hydrostatic_freshwater_surface_absolute_v1,46.35713558700001,3.50423255,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,9225,1002250,50301200010000,TUNALIK TEST WELL 1,*EXPLORATORY,Unknown,70.20595569,-161.06920909,Observation well,50010203,1,True,6160.312800000001,TrueVertic,20211.0,True,296,TLK,0.0002999049769328,permafrost_point_control_only,True,5864.312800000001,True,TLK,TLK_84JUL31b.txt,8.0,533.4,3.4264933567115388,deepest_window_g10015_inventory,matched_nearest_ggd223_code,1.2056774193548396,measured_profile_interpolated,calculated,False,0.0,202.53879327995125,measured_profile_plus_gradient_extrapolation,calculated,True,5626.912800000001,hydrostatic_freshwater_surface_absolute_v1,60.51335652012001,3.0040934000000004,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,8693,1001550,50163200020000,KUGRUA TEST WELL 1,*EXPLORATORY,Unknown,70.58702479,-158.66201236,Observation well,50010203,1,True,3836.8224,TrueVertic,12588.0,True,287,KAG,0.0003246801083545,permafrost_point_control_only,True,3549.8224,True,KAG,KAG_79SEP15.txt,10.0,527.31,3.081540858003936,deepest_window_g10015_inventory,matched_nearest_ggd223_code,1.03,measured_profile_interpolated,calculated,False,0.0,110.90897680670663,measured_profile_plus_gradient_extrapolation,calculated,True,3309.5124,hydrostatic_freshwater_surface_absolute_v1,37.727699388960005,2.9158335500000003,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,9226,1002260,50301200020000,PEARD TEST WELL 1,*EXPLORATORY,Unknown,70.71564754,-159.00070176,Observation well,50010203,1,True,3116.5800000000004,TrueVertic,10225.0,True,310,PEA,0.0003446252359147,permafrost_point_control_only,True,2806.5800000000004,True,PEA,PEA_84AUG06.txt,9.0,552.6,3.087803900701721,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.2455806451612897,measured_profile_interpolated,calculated,False,0.0,86.801674453212,measured_profile_plus_gradient_extrapolation,calculated,True,2563.9800000000005,hydrostatic_freshwater_surface_absolute_v1,30.664534257000003,3.1413865000000003,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,8942,1001980,50279200020000,DREW PT 1,*EXPLORATORY,Unknown,70.87975918,-153.89998832,Plugged & Abandoned,50010202; 50010203,2,True,2421.9408000000003,TrueVertic,7946.0,True,324,DRP,0.0003587344738073,permafrost_point_control_only,True,2097.9408000000003,True,DRP,DRP_84AUG10a.txt,9.0,631.85,3.754912354510372,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.179,measured_profile_interpolated,calculated,False,0.0,79.16234060615356,measured_profile_plus_gradient_extrapolation,calculated,True,1790.0908000000004,hydrostatic_freshwater_surface_absolute_v1,23.85245074632,3.2786796,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,8945,1002010,50279200050000,E SIMPSON TEST WELL 1,*EXPLORATORY,Unknown,70.91778519,-154.61799106,Observation well,50010203,1,True,2358.8472,TrueVertic,7739.0,True,370,ESN,0.0005383667741652,permafrost_point_control_only,True,1988.8472000000002,True,ESN,ESN_89JUL23.txt,9.0,580.95,4.255434391578859,deepest_window_g10015_inventory,matched_nearest_ggd223_code,0.1785714285714297,measured_profile_interpolated,calculated,False,0.0,84.16624889571757,measured_profile_plus_gradient_extrapolation,calculated,True,1777.8972,hydrostatic_freshwater_surface_absolute_v1,23.23371389388,3.7297855,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,ready_for_phase_curve_inputs,blocked_phase_curve_range_insufficient,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof,blocked_phase_curve_range_insufficient,blocked_phase_curve_range_insufficient,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
2026-06-15.v1,public_ml_feature_scaffold_not_training_labels,one_public_well,233,1700460,50029200800000,PRUDHOE BAY UNIT F-01,PRUDHOE BAY,PRUDHOE OIL,70.33470459,-148.7671433,Plugged & Abandoned,50010201,1,True,2815.1328000000003,TrueVertic,9236.0,True,637,PBH,0.0078540779927271,permafrost_point_control_only,True,2178.1328000000003,False,,,,,,deepest_window_g10015_inventory,no_matching_g10015_profile_for_nearest_ggd223_code,,blocked_no_temperature_profile,blocked_no_temperature_profile,False,0.0,,blocked_no_temperature_profile,blocked_no_temperature_profile,False,0.0,hydrostatic_freshwater_surface_absolute_v1,27.70834707312,6.34816105,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,5.0,needs_temperature_profile_match,blocked_missing_temperature_profile,blocked_missing_inputs,False,False,,,,,False,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,blocked_missing_temperature_profile,blocked_missing_temperature_profile,not_training_ready_no_validated_hydrate_labels,not_available_in_public_scaffold,not_available_in_public_scaffold,feature_engineering_and_coverage_readiness_only,hydrate_presence_absence_label;hydrate_saturation_label;validated_model_training;sweet_spot_ranking,"baseline stability screen may be used as a physics-derived feature, not as hydrate occurrence or saturation ground truth"
