object_id,permit_number,api_number,well_name,field,pool,wellhead_latitude,wellhead_longitude,depth_basis,depth_basis_m,hydrate_assessment_codes,within_hydrate_assessment_unit,nearest_ggd223_code,nearest_ggd223_well,nearest_permafrost_depth_m,nearest_ggd223_distance_km,nearest_temperature_profile_code,nearest_temperature_profile_file,nearest_temperature_profile_well,nearest_temperature_profile_log_date,temperature_profile_count_for_code,temperature_profile_max_depth_m,temperature_profile_deepest_temperature_c,rough_geothermal_gradient_c_per_100m,temperature_profile_link_method,hydrostatic_pressure_mpa_at_depth_basis,hydrostatic_pressure_mpa_at_nearest_permafrost_control,hydrostatic_pressure_mpa_absolute_at_depth_basis,hydrostatic_pressure_mpa_absolute_at_nearest_permafrost_control,pressure_assumption_code,phase_curve_status,planned_phase_curve_id,planned_phase_curve_role,planned_phase_curve_allowed_use,planned_gas_composition_assumption,planned_gas_methane_mol_pct,planned_gas_ethane_mol_pct,planned_gas_propane_mol_pct,planned_gas_butane_plus_mol_pct,planned_salinity_ppt_assumption,stability_top_base_thickness_status,stability_input_readiness
8946,1002020,50279200060000,J W DALTON TEST WELL 1,*EXPLORATORY,Unknown,70.92049634,-153.1375265,TrueVertic,2855.0616,50010202,True,JWD,J.W. Dalton,411,0.000107426275173,JWD,JWD_89JUL11.txt,J.W. Dalton Test Well #1,11-JUL-1989,7.0,463.8,2.313,4.475036865211142,matched_nearest_ggd223_code,27.99858983964,4.03053315,28.09991483964,4.13185815,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
6894,1001080,50103200170000,N INIGOK TEST WELL 1,*EXPLORATORY,Unknown,70.25758865,-152.76598394,TrueVertic,3099.8160000000003,50010202,True,NING,North Inigok,294,0.000132609945142,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,30.398810576400003,2.8831551,30.5001355764,2.9844801000000003,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
6886,1001040,50103200080000,ATIGARU PT 1,*EXPLORATORY,Unknown,70.55612048,-151.71718317,TrueVertic,3515.8680000000004,50010201; 50010202,True,ATI,Atigaru,405,0.0001505075491935,ATI,ATI_84AUG08b.txt,Atigaru Test Well #1,08-AUG-1984,11.0,609.6,10.754,5.016372143196604,matched_nearest_ggd223_code,34.478886922200005,3.97169325,34.58021192220001,4.07301825,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
8944,1002000,50279200040000,IKPIKPUK TEST WELL 1,*EXPLORATORY,Unknown,70.45546881,-154.33132708,TrueVertic,4716.780000000001,50010203,True,IKP,Ikpikpuk,347,0.0002360218461992,IKP,IKP_89JUL06.txt,Ikpikpuk Test Well #1,06-JUL-1989,9.0,613.46,7.715,2.921314584237471,matched_nearest_ggd223_code,46.255810587000006,3.40290755,46.35713558700001,3.5042325500000002,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
9225,1002250,50301200010000,TUNALIK TEST WELL 1,*EXPLORATORY,Unknown,70.20595569,-161.06920909,TrueVertic,6160.312800000001,50010203,True,TLK,Tunalik,296,0.0002999049769328,TLK,TLK_84JUL31b.txt,Tunalik Test Well #1,31-JUL-1984,8.0,533.4,9.733,3.4264933567115388,matched_nearest_ggd223_code,60.41203152012001,2.9027684000000002,60.51335652012001,3.0040934000000004,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
8693,1001550,50163200020000,KUGRUA TEST WELL 1,*EXPLORATORY,Unknown,70.58702479,-158.66201236,TrueVertic,3836.8224,50010203,True,KAG,Kugrua,287,0.0003246801083545,KAG,KAG_79SEP15.txt,Kugrua Test Well #1,15-SEP-1979,10.0,527.31,8.925,3.081540858003936,matched_nearest_ggd223_code,37.62637438896,2.81450855,37.727699388960005,2.9158335500000003,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
9226,1002260,50301200020000,PEARD TEST WELL 1,*EXPLORATORY,Unknown,70.71564754,-159.00070176,TrueVertic,3116.5800000000004,50010203,True,PEA,Peard Bay,310,0.0003446252359147,PEA,PEA_84AUG06.txt,Peard Bay Test Well #1,06-AUG-1984,9.0,552.6,7.631,3.087803900701721,matched_nearest_ggd223_code,30.563209257000004,3.0400615,30.664534257000003,3.1413865000000003,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
8942,1001980,50279200020000,DREW PT 1,*EXPLORATORY,Unknown,70.87975918,-153.89998832,TrueVertic,2421.9408000000003,50010202; 50010203,True,DRP,Drew Point,324,0.0003587344738073,DRP,DRP_84AUG10a.txt,Drew Point Test Well #1,10-AUG-1984,9.0,631.85,11.946,3.754912354510372,matched_nearest_ggd223_code,23.751125746320003,3.1773546,23.852450746320002,3.2786796000000002,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
8945,1002010,50279200050000,E SIMPSON TEST WELL 1,*EXPLORATORY,Unknown,70.91778519,-154.61799106,TrueVertic,2358.8472,50010203,True,ESN,East Simpson #1,370,0.0005383667741652,ESN,ESN_89JUL23.txt,East Simpson Test Well #1,23-JUL-1989,9.0,580.95,8.509,4.255434391578859,matched_nearest_ggd223_code,23.13238889388,3.6284605,23.23371389388,3.7297855,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,ready_for_phase_curve_inputs
233,1700460,50029200800000,PRUDHOE BAY UNIT F-01,PRUDHOE BAY,PRUDHOE OIL,70.33470459,-148.7671433,TrueVertic,2815.1328000000003,50010201,True,PBH,BP 11-11-13,637,0.0078540779927271,,,,,,,,,no_matching_g10015_profile_for_nearest_ggd223_code,27.607022073120003,6.24683605,27.708347073120002,6.34816105,hydrostatic_freshwater_0p00980665_mpa_per_m_surface_0p101325_mpa,not_applied,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_calculated,needs_temperature_profile_match
