well_designation,code,latitude,longitude,elevation_m,permafrost_depth_m,source
Atigaru,ATI,70.55611944444445,-151.71718055555556,2,405,NSIDC GGD223 stnlist.dat
Awuna,AWUN,69.15321666666667,-158.02257500000002,336,295,NSIDC GGD223 stnlist.dat
Prudhoe Bay C-19,CN19,70.49,-149.52333333333334,6,530,NSIDC GGD223 stnlist.dat
Prudhoe Bay D-2A,CND2,70.485,-149.43333333333334,7,536,NSIDC GGD223 stnlist.dat
Canning River A-1,CNR,69.6,-146.35833333333332,282,280,NSIDC GGD223 stnlist.dat
Drew Point,DRP,70.87976111111111,-153.89998055555554,5,324,NSIDC GGD223 stnlist.dat
Echooka #1,EB1,69.39916666666667,-148.2675,200,280,NSIDC GGD223 stnlist.dat
East Bay State #1,EBS,70.31055555555555,-148.31611111111113,5,627,NSIDC GGD223 stnlist.dat
East Simpson #1,ESN,70.91778055555557,-154.61798611111112,4,370,NSIDC GGD223 stnlist.dat
East Teshepuk,ETK,70.56990555555555,-152.94358333333335,2,262,NSIDC GGD223 stnlist.dat
West Fish Creek #1,FCK,70.32666388888889,-152.0605638888889,27,268,NSIDC GGD223 stnlist.dat
Ikpikpuk,IKP,70.45546666666667,-154.33132777777777,10,347,NSIDC GGD223 stnlist.dat
J.W. Dalton,JWD,70.92049722222222,-153.13752777777776,6,411,NSIDC GGD223 stnlist.dat
Kugrua,KAG,70.58702222222222,-158.66201666666666,20,287,NSIDC GGD223 stnlist.dat
Kuyanak,KUY,70.93152222222223,-156.06474444444444,3,328,NSIDC GGD223 stnlist.dat
Lisburne,LBN,68.48484444444445,-155.69319722222224,559,295,NSIDC GGD223 stnlist.dat
Lupine Creek,LUP,69.10117777777778,-148.6185638888889,520,238,NSIDC GGD223 stnlist.dat
Mobil 28243,MOB2,70.30333333333333,-149.41666666666666,19,575,NSIDC GGD223 stnlist.dat
N. Highland State,NHST,70.29166666666667,-149.2186111111111,16,577,NSIDC GGD223 stnlist.dat
North Inigok,NING,70.25758888888889,-152.76598055555556,41,294,NSIDC GGD223 stnlist.dat
North Kalikpik,NKP,70.50917222222222,-152.367825,5,213,NSIDC GGD223 stnlist.dat
BP 33-12-13,PBA,70.3561111111111,-148.835,9,662,NSIDC GGD223 stnlist.dat
BP 04-11-13,PBB,70.33,-148.84666666666666,11,640,NSIDC GGD223 stnlist.dat
BP 19-10-15,PBC,70.21166666666667,-148.4125,11,584,NSIDC GGD223 stnlist.dat
ARCO NPBS #1,PBE,70.37638888888888,-148.525,2,604,NSIDC GGD223 stnlist.dat
BP 08-11-13,PBF,70.31861111111111,-148.90972222222223,8,619,NSIDC GGD223 stnlist.dat
BP 31-11-14,PBG,70.26833333333333,-148.67333333333332,10,649,NSIDC GGD223 stnlist.dat
BP 11-11-13,PBH,70.33472222222221,-148.76694444444445,6,637,NSIDC GGD223 stnlist.dat
BP 12-11-13,PBI,70.33527777777778,-148.76444444444445,6,635,NSIDC GGD223 stnlist.dat
BP 31-10-16,PBL,70.18222222222222,-148.15805555555556,14,605,NSIDC GGD223 stnlist.dat
BP 27-11-14,PBM,70.27833333333334,-148.56555555555556,6,619,NSIDC GGD223 stnlist.dat
BP Kuparuk #1,PBO,69.29666666666667,-150.81333333333333,189,297,NSIDC GGD223 stnlist.dat
Peard Bay,PEA,70.71564444444445,-159.0007,23,310,NSIDC GGD223 stnlist.dat
Simpson Core #13,S04,70.98302777777778,-154.65972222222223,7,319,NSIDC GGD223 stnlist.dat
Seabee,SBE,69.38014444444444,-152.17535833333332,89,309,NSIDC GGD223 stnlist.dat
South Meade,SME,70.61497777777777,-156.8898888888889,12,201,NSIDC GGD223 stnlist.dat
Tunalik,TLK,70.20595833333334,-161.06921111111112,26,296,NSIDC GGD223 stnlist.dat
Tulageak,TUL,71.1893388888889,-155.7335611111111,3,304,NSIDC GGD223 stnlist.dat
West Dease,WDS,71.15906944444446,-155.62921944444446,2,282,NSIDC GGD223 stnlist.dat
West Sak River #11,WK11,70.35694444444444,-149.9908333333333,19,470,NSIDC GGD223 stnlist.dat
West Sak River #14,WK14,70.29333333333334,-149.95166666666665,40,464,NSIDC GGD223 stnlist.dat
West Sak River #17,WK17,70.44666666666667,-149.72,18,550,NSIDC GGD223 stnlist.dat
West Sak State #1,WSS1,70.33916666666666,-149.5361111111111,18,551,NSIDC GGD223 stnlist.dat
