"Category","File","Extension","Bytes","SourcePath","LibraryPath"
"02_usgs_and_field_reports","sir2012-5054_summary.pdf",".pdf","1881782","C:\Users\gargi\Downloads\sir2012-5054_summary.pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\02_usgs_and_field_reports\sir2012-5054_summary.pdf"
"02_usgs_and_field_reports","sir2012-5054_chap_1.pdf",".pdf","12620007","C:\Users\gargi\Downloads\sir2012-5054_chap_1.pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\02_usgs_and_field_reports\sir2012-5054_chap_1.pdf"
"02_usgs_and_field_reports","sir2012-5054_methods.pdf",".pdf","110864871","C:\Users\gargi\Downloads\sir2012-5054_methods.pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\02_usgs_and_field_reports\sir2012-5054_methods.pdf"
"02_usgs_and_field_reports","sir2012-5147_arctic.pdf",".pdf","8084041","C:\Users\gargi\Downloads\sir2012-5147_arctic.pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\02_usgs_and_field_reports\sir2012-5147_arctic.pdf"
"02_usgs_and_field_reports","permafrost-mtelbert (1).pdf",".pdf","3502908","C:\Users\gargi\Downloads\permafrost-mtelbert (1).pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\02_usgs_and_field_reports\permafrost-mtelbert (1).pdf"
"05_geomechanics_productivity_ml","Geomechanical_Controls_Gas_Hydrate_Productivity_NGHP_GOM_Alaska_ML.docx",".docx","63319","C:\Users\gargi\Downloads\Geomechanical_Controls_Gas_Hydrate_Productivity_NGHP_GOM_Alaska_ML.docx","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\05_geomechanics_productivity_ml\Geomechanical_Controls_Gas_Hydrate_Productivity_NGHP_GOM_Alaska_ML.docx"
"05_geomechanics_productivity_ml","Hydrate_Reservoir_Geomechanics_Productivity_ML_Framework.docx",".docx","57349","C:\Users\gargi\Downloads\Hydrate_Reservoir_Geomechanics_Productivity_ML_Framework.docx","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\05_geomechanics_productivity_ml\Hydrate_Reservoir_Geomechanics_Productivity_ML_Framework.docx"
"05_geomechanics_productivity_ml","Hydrate_Full_Expanded_Document.docx",".docx","40262","C:\Users\gargi\Downloads\Hydrate_Full_Expanded_Document.docx","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\05_geomechanics_productivity_ml\Hydrate_Full_Expanded_Document.docx"
"05_geomechanics_productivity_ml","Gas_Hydrate_Final_Document.docx",".docx","38154","C:\Users\gargi\Downloads\Gas_Hydrate_Final_Document.docx","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\05_geomechanics_productivity_ml\Gas_Hydrate_Final_Document.docx"
"03_alaska_geology_reservoir","Controls on reservoir quality of the Nanushuk Formation.pdf",".pdf","17928025","C:\Users\gargi\Downloads\Controls on reservoir quality of the Nanushuk Formation.pdf","C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\03_alaska_geology_reservoir\Controls on reservoir quality of the Nanushuk Formation.pdf"
